date,search rank,id,brand,rating,num reviews,percent rec

2015-11-25,1,10403208,other,4.824,17,94

2015-11-25,2,25847978,Cheerios,4.826,201,99

2015-11-25,3,10891821,other,4.647,51,94

2015-11-25,4,10315424,other,4.614,71,96

2015-11-25,5,10311410,Cheerios,4.837,184,98

2015-11-25,6,10818684,Kellogg,4.862,58,100

2015-11-25,7,24984274,Kellogg,4.884,45,100

2015-11-25,8,10891818,other,4.767,60,98

2015-11-25,9,10311409,Cheerios,4.826,201,99

2015-11-25,10,10450279,other,4.415,41,85

2015-11-25,11,11303903,other,3.303,33,64

2015-11-25,12,10818613,Kellogg,4.772,123,98

2015-11-25,13,10311275,other,4.636,11,100

2015-11-25,14,15716906,Post,0.0,0,0

2015-11-25,15,10450278,other,4.75,16,100

2015-11-25,16,10818609,Kellogg,4.674,46,96

2015-11-25,17,10311280,other,4.68,25,96

2015-11-25,18,15611122,Post,5.0,21,100

2015-11-25,19,10311398,other,4.735,49,98

2015-11-25,20,10315966,other,4.355,31,90

2015-11-25,21,13399215,other,3.966,59,76

2015-11-25,22,33886600,other,3.727,11,73

2015-11-25,23,10450280,other,4.539,13,92

2015-11-25,24,10450112,other,4.539,14,88

2015-11-25,25,10311273,other,4.76,25,96

2015-11-25,26,15716905,Post,4.857,35,97

2015-11-25,27,34201710,Cheerios,4.857,14,93

2015-11-25,28,39326219,Kellogg,4.694,113,97

2015-11-25,29,10311420,other,4.643,15,93

2015-11-25,30,10891840,other,4.875,16,100

2015-11-25,31,33886601,other,4.273,11,91

2015-11-25,32,10311402,other,4.417,12,83

2015-11-25,33,15716908,Post,5.0,9,100

2015-11-25,34,38384605,Cheerios,4.813,16,100

2015-11-25,35,33886599,Cheerios,4.727,44,95

2015-11-25,36,24984281,Kellogg,4.789,52,96

2015-11-25,37,10292151,other,4.561,41,95

2015-11-25,38,15716901,other,4.783,23,100

2015-11-25,39,15611121,Post,4.932,44,100

2015-11-25,40,24984278,Kellogg,4.775,80,97

2015-11-25,41,10818615,other,4.783,23,96

2015-11-25,42,25875664,Kellogg,4.699,113,97

2015-11-25,43,10804531,other,4.706,34,97

2015-11-25,44,10319631,Kashi,4.286,7,86

2015-11-25,45,10402735,other,4.879,33,100

2015-11-25,46,24984277,Kellogg,4.819,94,99

2015-11-25,47,10450277,other,4.8,6,67

2015-11-25,48,10411377,other,4.782,101,98

2015-11-25,49,47754329,other,0.0,0,0

2015-11-25,50,47713361,other,0.0,0,0

2015-11-25,51,47508860,other,0.0,0,0

2015-11-25,52,23597638,Cheerios,5.0,9,100

2015-11-25,53,47906629,other,0.0,0,0

2015-11-25,54,25875663,Kellogg,4.767,60,98

2015-11-25,55,36915387,other,4.5,10,100

2015-11-25,56,25847977,other,4.727,33,97

2015-11-25,57,19514902,other,4.519,54,93

2015-11-25,58,19890855,Kellogg,4.699,113,97

2015-11-25,59,37402338,other,4.389,18,89

2015-11-25,60,34201711,other,4.579,19,89

2015-11-25,61,36901935,other,4.167,12,75

2015-11-25,62,21096170,Kellogg,4.95,20,100

2015-11-25,63,45099803,other,0.0,0,0

2015-11-25,64,37402337,other,4.7,10,90

2015-11-25,65,36915386,other,5.0,1,100

2015-11-25,66,10311271,other,4.706,17,94

2015-11-25,67,38227253,other,5.0,7,100

2015-11-25,68,20970530,other,4.0,2,100

2015-11-25,69,33785035,other,4.727,11,100

2015-11-25,70,41474804,other,4.563,32,97

2015-11-25,71,37341974,other,4.546,11,100

2015-11-25,72,24984273,Kellogg,4.844,32,100

2015-11-25,73,10813984,other,4.58,70,93

2015-11-25,74,37402339,other,4.889,9,100

2015-11-25,75,25847976,other,4.353,17,82

2015-11-25,76,22210561,other,4.75,16,100

2015-11-25,77,34536022,other,4.172,58,82

2015-11-25,78,10321405,other,4.863,51,98

2015-11-25,79,24984279,Kellogg,4.846,13,100

2015-11-25,80,21125846,other,4.857,14,100

2015-11-25,81,23984405,other,3.667,6,67

2015-11-25,82,24984276,Kellogg,4.816,49,100

2015-11-25,83,21125860,other,0.0,0,0

2015-11-25,84,20648084,Post,4.381,22,91

2015-11-25,85,34536023,other,3.91,134,74

2015-11-25,86,36267570,other,0.0,0,0

2015-11-25,87,35044567,Post,4.692,13,92

2015-11-25,88,34164100,Post,4.818,44,98

2015-11-25,89,25596741,Kellogg,4.963,27,100

2015-11-25,90,32286719,other,4.438,32,88

2015-11-25,91,21048475,other,4.917,24,100

2015-11-25,92,17179326,other,4.288,59,88

2015-11-25,93,45099791,other,5.0,1,100

